Player,G,eFG%,TRB,AST,STL,BLK,TOV,PTS,AGE,YRS,POS
Avery Bradley,62,0.54,136,47,53,9,38,394,31,10,SG
Ayo Dosunmu,77,0.585,214,256,60,29,108,679,22,1,SG
Ben McLemore,64,0.541,103,59,38,10,55,655,28,7,SG
Bogdan Bogdanovi?,63,0.537,250,194,68,14,70,950,29,8,SG
Bones Hyland,69,0.518,188,191,41,20,86,698,21,0,SG
Bradley Beal,40,0.492,189,265,36,15,135,928,28,7,SG
Brandon Boston Jr.,51,0.437,111,51,26,13,31,343,20,-1,SG
Brodric Thomas,12,0.5,10,11,1,1,6,21,25,4,SG
Bryn Forbes,75,0.542,93,75,25,5,56,663,28,7,SG
Buddy Hield,81,0.526,353,229,73,25,153,1265,29,8,SG
C.J. Miles,1,0,0,0,0,0,0,0,34,13,SG
Cade Cunningham,64,0.471,354,356,78,43,234,1114,20,-1,SG
Cam Thomas,67,0.48,161,78,33,8,55,570,20,-1,SG
Caris LeVert,58,0.492,214,248,51,23,108,986,27,6,SG
Carsen Edwards,4,0.367,6,14,2,0,5,23,23,2,SG
Cassius Stanley,9,0.457,19,4,5,2,6,52,22,1,SG
Charlie Brown Jr.,22,0.269,32,6,10,4,5,30,24,3,SG
Chaundee Brown Jr.,5,0.406,16,4,2,0,1,31,23,2,SG
Chris Duarte,55,0.507,226,114,56,10,90,720,24,3,SG
CJ McCollum,62,0.539,269,315,70,22,127,1370,30,9,SG
Collin Sexton,11,0.487,36,23,10,0,31,176,23,2,SG
Craig Sword,3,0.75,0,1,4,0,1,6,28,7,SG
Daishen Nix,24,0.455,33,40,15,0,26,77,19,-2,SG
Dakota Mathias,6,0.5,2,1,1,0,0,6,26,5,SG
Damion Lee,63,0.523,203,63,39,6,38,467,29,8,SG
Damyean Dotson,2,0.5,2,1,0,0,0,4,27,6,SG
DaQuan Jeffries,3,0.5,2,1,0,0,0,2,24,3,SG
David Johnson,2,0,0,0,0,0,0,0,20,-1,SG
Davon Reed,48,0.618,108,53,24,9,16,209,26,5,SG
